Query,Locale,SearchIntent,ExistingOwner,CurrentRankingURLs,EvidenceTier,GSCStatus,SERPDate,ProductFit,RealMissingValue,Score,Decision,RecommendedAction,Evidence
home maintenance records,en,organize a durable history of home maintenance,/guides/home-maintenance-records/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
appliance maintenance tracker,en,"track appliance service history, warranties and next maintenance",/features/maintenance-tracker/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
appliance inventory app,en,"catalog appliances with model, serial, location and proof",/features/home-inventory-tracker/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
warranty tracker,en,"track warranty coverage, expiry and supporting records",/features/warranty-tracker/,UNOBSERVED,TIER_B_SERP_BACKED_FOUNDATIONAL,GSC_AUTH_MISSING,2026-09-10,STRONG_EXISTING_CAPABILITY,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,EVIDENCE_GATED_SELECTED,IMPROVE_EXISTING,Add a first-screen capability and limitation summary with a calculator bridge,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
home record keeper,en,keep one organized record of household assets and operations,/features/home-record-keeper/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
home maintenance binder,en,assemble a printable or digital binder for maintenance records,/guides/home-maintenance-binder/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
household handoff,en,transfer household knowledge and responsibilities to another person,/guides/household-handoff/,UNOBSERVED,TIER_B_SERP_BACKED_FOUNDATIONAL,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,FOUNDATIONAL_REVIEW_ONLY,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
household operations system,en,run recurring household work through a shared operating system,/features/household-operations-system/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
居家維修紀錄,zh-TW,記錄居家設備維修、日期、費用與處理結果,/zh-tw/guides/repair-history/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
家電保固紀錄,zh-TW,保存家電保固日期、購買證明與維修紀錄,/zh-tw/guides/how-to-track-product-warranties/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
家電維修紀錄,zh-TW,整理家電維修日期、廠商、費用與後續處理,/zh-tw/guides/service-history/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
家庭交接,zh-TW,把家庭日常資訊與責任交給家人或代理人,/zh-tw/guides/household-handoff/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
家庭管理工具,zh-TW,選擇管理家庭資產、維修與日常工作的工具,/zh-tw/,UNOBSERVED,TIER_C_UNPROVEN,GSC_AUTH_MISSING,2026-09-10,REVIEW,PUBLIC_SERP_OBSERVATION; SITE_OBSERVATION; NEEDS_EVIDENCE,NOT_SCORED_WITHOUT_CURRENT_GSC,NEEDS_EVIDENCE,Research-only until current evidence improves,PUBLIC_SERP_OBSERVATION; REPO_EVIDENCE; NEEDS_EVIDENCE
