Query,Locale,CurrentRankingURLs,IntendedPrimaryURL,SupportingURLs,OwnershipStatus,EvidenceTier,OwnerDecision,Reason,Evidence
home maintenance records,en,UNOBSERVED — current GSC query/page data unavailable,/guides/home-maintenance-records/,/guides/home-maintenance-log/; /features/maintenance-tracker/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
appliance maintenance tracker,en,UNOBSERVED — current GSC query/page data unavailable,/features/maintenance-tracker/,/features/warranty-tracker/; /guides/appliance-maintenance/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
appliance inventory app,en,UNOBSERVED — current GSC query/page data unavailable,/features/home-inventory-tracker/,/guides/appliance-inventory/; /guides/room-by-room-home-inventory/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
warranty tracker,en,UNOBSERVED — current GSC query/page data unavailable,/features/warranty-tracker/,/tools/warranty-expiration-calculator/; /guides/how-to-track-product-warranties/,NEEDS_EVIDENCE,TIER_B_SERP_BACKED_FOUNDATIONAL,SELECT_EXISTING_OWNER,"Existing owner, clear task, current SERP observation and strong product fit; no new URL.",REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
home record keeper,en,UNOBSERVED — current GSC query/page data unavailable,/features/home-record-keeper/,/guides/digital-home-binder/; /features/household-operations-system/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
home maintenance binder,en,UNOBSERVED — current GSC query/page data unavailable,/guides/home-maintenance-binder/,/guides/digital-home-binder/; /guides/home-maintenance-records/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
household handoff,en,UNOBSERVED — current GSC query/page data unavailable,/guides/household-handoff/,/features/household-handoff/; /guides/travel-household-handoff/,NEEDS_EVIDENCE,TIER_B_SERP_BACKED_FOUNDATIONAL,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
household operations system,en,UNOBSERVED — current GSC query/page data unavailable,/features/household-operations-system/,/features/household-handoff/; /features/maintenance-tracker/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
居家維修紀錄,zh-TW,UNOBSERVED — current GSC query/page data unavailable,/zh-tw/guides/repair-history/,/zh-tw/guides/home-maintenance-records/; /zh-tw/features/maintenance-tracker/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
家電保固紀錄,zh-TW,UNOBSERVED — current GSC query/page data unavailable,/zh-tw/guides/how-to-track-product-warranties/,/zh-tw/features/warranty-tracker/; /zh-tw/tools/warranty-expiration-calculator/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
家電維修紀錄,zh-TW,UNOBSERVED — current GSC query/page data unavailable,/zh-tw/guides/service-history/,/zh-tw/features/maintenance-tracker/; /zh-tw/guides/repair-history/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
家庭交接,zh-TW,UNOBSERVED — current GSC query/page data unavailable,/zh-tw/guides/household-handoff/,/zh-tw/features/household-handoff/; /zh-tw/guides/travel-household-handoff/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
家庭管理工具,zh-TW,UNOBSERVED — current GSC query/page data unavailable,/zh-tw/,/zh-tw/features/household-operations-system/; /zh-tw/features/home-inventory-tracker/,NEEDS_EVIDENCE,TIER_C_UNPROVEN,HOLD,Existing owner identified from site inventory; current ranking and switching evidence unavailable,REPO_EVIDENCE; PUBLIC_SERP_OBSERVATION; NEEDS_EVIDENCE
